date	impfungen	impfungen_kumulativ	impfungen_biontech	impfungen_biontech_kumulativ	impfungen_biontech_min1	impfungen_biontech_min1_kumulativ	impfungen_biontech_gi	impfungen_biontech_gi_kumulativ	impfungen_biontech_boost1	impfungen_biontech_boost1_kumulativ	impfungen_biontech_boost2	impfungen_biontech_boost2_kumulativ	impfungen_biontech_boost3	impfungen_biontech_boost3_kumulativ	impfungen_biontech_boost4	impfungen_biontech_boost4_kumulativ	impfungen_moderna	impfungen_moderna_kumulativ	impfungen_moderna_min1	impfungen_moderna_min1_kumulativ	impfungen_moderna_gi	impfungen_moderna_gi_kumulativ	impfungen_moderna_boost1	impfungen_moderna_boost1_kumulativ	impfungen_moderna_boost2	impfungen_moderna_boost2_kumulativ	impfungen_moderna_boost3	impfungen_moderna_boost3_kumulativ	impfungen_moderna_boost4	impfungen_moderna_boost4_kumulativ	impfungen_astra	impfungen_astra_kumulativ	impfungen_astra_min1	impfungen_astra_min1_kumulativ	impfungen_astra_gi	impfungen_astra_gi_kumulativ	impfungen_astra_boost1	impfungen_astra_boost1_kumulativ	impfungen_astra_boost2	impfungen_astra_boost2_kumulativ	impfungen_astra_boost3	impfungen_astra_boost3_kumulativ	impfungen_astra_boost4	impfungen_astra_boost4_kumulativ	impfungen_johnson	impfungen_johnson_kumulativ	impfungen_johnson_min1	impfungen_johnson_min1_kumulativ	impfungen_johnson_gi	impfungen_johnson_gi_kumulativ	impfungen_johnson_boost1	impfungen_johnson_boost1_kumulativ	impfungen_johnson_boost2	impfungen_johnson_boost2_kumulativ	impfungen_johnson_boost3	impfungen_johnson_boost3_kumulativ	impfungen_johnson_boost4	impfungen_johnson_boost4_kumulativ	impfungen_novavax	impfungen_novavax_kumulativ	impfungen_novavax_min1	impfungen_novavax_min1_kumulativ	impfungen_novavax_gi	impfungen_novavax_gi_kumulativ	impfungen_novavax_boost1	impfungen_novavax_boost1_kumulativ	impfungen_novavax_boost2	impfungen_novavax_boost2_kumulativ	impfungen_novavax_boost3	impfungen_novavax_boost3_kumulativ	impfungen_novavax_boost4	impfungen_novavax_boost4_kumulativ	impfungen_valneva	impfungen_valneva_kumulativ	impfungen_valneva_min1	impfungen_valneva_min1_kumulativ	impfungen_valneva_gi	impfungen_valneva_gi_kumulativ	impfungen_valneva_boost1	impfungen_valneva_boost1_kumulativ	impfungen_valneva_boost2	impfungen_valneva_boost2_kumulativ	impfungen_valneva_boost3	impfungen_valneva_boost3_kumulativ	impfungen_valneva_boost4	impfungen_valneva_boost4_kumulativ	impfungen_biontech_bivalent	impfungen_biontech_bivalent_kumulativ	impfungen_biontech_bivalent_min1	impfungen_biontech_bivalent_min1_kumulativ	impfungen_biontech_bivalent_gi	impfungen_biontech_bivalent_gi_kumulativ	impfungen_biontech_bivalent_boost1	impfungen_biontech_bivalent_boost1_kumulativ	impfungen_biontech_bivalent_boost2	impfungen_biontech_bivalent_boost2_kumulativ	impfungen_biontech_bivalent_boost3	impfungen_biontech_bivalent_boost3_kumulativ	impfungen_biontech_bivalent_boost4	impfungen_biontech_bivalent_boost4_kumulativ	impfungen_moderna_bivalent	impfungen_moderna_bivalent_kumulativ	impfungen_moderna_bivalent_min1	impfungen_moderna_bivalent_min1_kumulativ	impfungen_moderna_bivalent_gi	impfungen_moderna_bivalent_gi_kumulativ	impfungen_moderna_bivalent_boost1	impfungen_moderna_bivalent_boost1_kumulativ	impfungen_moderna_bivalent_boost2	impfungen_moderna_bivalent_boost2_kumulativ	impfungen_moderna_bivalent_boost3	impfungen_moderna_bivalent_boost3_kumulativ	impfungen_moderna_bivalent_boost4	impfungen_moderna_bivalent_boost4_kumulativ	personen_min1	personen_min1_kumulativ	impfungen_min1	impfungen_min1_kumulativ	impfquote_min1	personen_gi	personen_gi_kumulativ	impfungen_gi	impfungen_gi_kumulativ	impfquote_gi	personen_boost1	personen_boost1_kumulativ	impfungen_boost1	impfungen_boost1_kumulativ	impfquote_boost1	personen_boost2	personen_boost2_kumulativ	impfungen_boost2	impfungen_boost2_kumulativ	impfquote_boost2	personen_boost3	personen_boost3_kumulativ	impfungen_boost3	impfungen_boost3_kumulativ	impfquote_boost3	personen_boost4	personen_boost4_kumulativ	impfungen_boost4	impfungen_boost4_kumulativ	impfquote_boost4
2020-12-27	24427	24427	24418	24418	24418	24418	0	0	0	0	0	0	0	0	0	0	8	8	8	8	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24427	24427	24427	24427	0.00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-12-28	18073	42500	18071	42489	18071	42489	0	0	0	0	0	0	0	0	0	0	1	9	1	9	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18073	42500	18073	42500	0.00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-12-29	50229	92729	50228	92717	50228	92717	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	1	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50229	92729	50229	92729	0.00111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-12-30	64213	156942	64212	156929	64212	156929	0	0	0	0	0	0	0	0	0	0	1	10	1	10	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64213	156942	64213	156942	0.00189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-12-31	49985	206927	49983	206912	49983	206912	0	0	0	0	0	0	0	0	0	0	2	12	2	12	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49985	206927	49985	206927	0.00249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-01	25723	232650	25702	232614	25702	232614	0	0	0	0	0	0	0	0	0	0	15	27	15	27	0	0	0	0	0	0	0	0	0	0	4	7	4	7	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25723	232650	25723	232650	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-02	47835	280485	47832	280446	47832	280446	0	0	0	0	0	0	0	0	0	0	1	28	1	28	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	2	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47835	280485	47835	280485	0.00337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-03	22614	303099	22607	303053	22607	303053	0	0	0	0	0	0	0	0	0	0	7	35	7	35	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22614	303099	22614	303099	0.00364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-04	46362	349461	46332	349385	46332	349385	0	0	0	0	0	0	0	0	0	0	11	46	11	46	0	0	0	0	0	0	0	0	0	0	1	8	1	8	0	0	0	0	0	0	0	0	0	0	18	22	18	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46362	349461	46362	349461	0.0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-05	52522	401983	52518	401903	52518	401903	0	0	0	0	0	0	0	0	0	0	4	50	4	50	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	22	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52522	401983	52522	401983	0.00483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
